Fold,Accuracy,AUC,Recall_PD,F1_PD
1,0.9024390243902439,0.8555555555555556,0.4,0.5
2,0.7804878048780488,0.6666666666666667,0.16666666666666666,0.18181818181818182
3,0.8048780487804879,0.7142857142857143,0.3333333333333333,0.3333333333333333
4,0.7804878048780488,0.5095238095238095,0.16666666666666666,0.18181818181818182
5,0.8048780487804879,0.6095238095238095,0.16666666666666666,0.2
6,0.8536585365853658,0.8761904761904762,0.0,0.0
7,0.85,0.8914285714285715,0.2,0.25
8,0.875,0.6857142857142857,0.2,0.2857142857142857
9,0.9,0.64,0.2,0.3333333333333333
10,0.85,0.64,0.0,0.0
